id;name;detalle;status;termination_date;days_late
1;Centers;Pound overriding;EARRING;2022-10-27T12:53:20;46564
2;intuitive;Berkshire;FINISHED;2022-10-26T21:35:59;64870
3;flexibility JBOD;Row Human e-services;EARRING;2022-10-27T17:39:40;57420
4;end-to-end SSL bi-directional;Oklahoma Table orange;NEW;2022-10-27T10:07:00;69249
5;Turnpike;edge;FINISHED;2022-10-27T18:28:14;454
6;blue virtual;Savings workforce;FINISHED;2022-10-27T10:33:51;8144
7;tan technologies Refined;background tertiary;NEW;2022-10-26T22:27:08;92909
8;transmitting Markets;(Bouvetoya);NEW;2022-10-27T15:53:25;44162
9;Refined Croatian;Delaware;EARRING;2022-10-27T12:33:01;57874
10;withdrawal;bypassing revolutionize;NEW;2022-10-27T06:07:55;75190
